State-Code,Name,TRU,Education-Level,Tot-P,Tot-M,Tot-F,Persons-exactly-1,Males-exactly-1,Females-exactly-1,Persons-exactly-2,Males-exactly-2,Females-exactly-2,Persons-atleast-3,Males-atleast-3,Females-atleast-3
0,INDIA,Rural,Total,833748852,427781058,405967794,671107367,334793006,336314361,127257496,71216990,56040506,35383989,21771062,13612927
0,INDIA,Rural,Illiterate,350955017,146419684,204535333,320751009,133644969,187106040,27969932,11669096,16300836,2234076,1105619,1128457
0,INDIA,Rural,Literate,482793835,281361374,201432461,350356358,201148037,149208321,99287564,59547894,39739670,33149913,20665443,12484470
0,INDIA,Rural,Literate but below primary,109643998,59106785,50537213,91156271,48753758,42402513,16736755,9319082,7417673,1750972,1033945,717027
0,INDIA,Rural,Primary but below middle,130265150,71805082,58460068,101338986,55459637,45879349,24427027,13767182,10659845,4499137,2578263,1920874
0,INDIA,Rural,Middle but below matric/secondary,90343798,53864377,36479421,65385951,38796015,26589936,18947772,11460196,7487576,6010075,3608166,2401909
0,INDIA,Rural,Matric/Secondary but below graduate,105238622,66910802,38327820,62938429,40112691,22825738,27751132,17612327,10138805,14549061,9185784,5363277
0,INDIA,Rural,Graduate and above,22339967,15659295,6680672,10577877,7596692,2981185,6671649,4592542,2079107,5090441,3470061,1620380
0,INDIA,Total,Total,1210854977,623270258,587584719,895866207,446573875,449292332,228979190,126159551,102819639,86009580,50536832,35472748
0,INDIA,Total,Illiterate,447216165,188506636,258709529,404949897,170655052,234294845,38386410,15961299,22425111,3879858,1890285,1989573
0,INDIA,Total,Literate,763638812,434763622,328875190,490916310,275918823,214997487,190592780,110198252,80394528,82129722,48646547,33483175
0,INDIA,Total,Literate but below primary,146897597,78445099,68452498,117552493,62318140,55234353,25611488,14018935,11592553,3733616,2108024,1625592
0,INDIA,Total,Primary but below middle,184170833,99311072,84859761,135600289,72722576,62877713,39934248,21806285,18127963,8636296,4782211,3854085
0,INDIA,Total,Middle but below matric/secondary,133903266,77629578,56273688,90786605,52414721,38371884,32373311,18948568,13424743,10743350,6266289,4477061
0,INDIA,Total,Matric/Secondary but below graduate,192193344,116331881,75861463,98989269,60309432,38679837,59304856,35611302,23693554,33899219,20411147,13488072
0,INDIA,Total,Graduate and above,68288971,42120460,26168511,21330922,13834840,7496082,24811506,14969198,9842308,22146543,13316422,8830121
0,INDIA,Urban,Total,377106125,195489200,181616925,224758840,111780869,112977971,101721694,54942561,46779133,50625591,28765770,21859821
0,INDIA,Urban,Illiterate,96261148,42086952,54174196,84198888,37010083,47188805,10416478,4292203,6124275,1645782,784666,861116
0,INDIA,Urban,Literate,280844977,153402248,127442729,140559952,74770786,65789166,91305216,50650358,40654858,48979809,27981104,20998705
0,INDIA,Urban,Literate but below primary,37253599,19338314,17915285,26396222,13564382,12831840,8874733,4699853,4174880,1982644,1074079,908565
0,INDIA,Urban,Primary but below middle,53905683,27505990,26399693,34261303,17262939,16998364,15507221,8039103,7468118,4137159,2203948,1933211
0,INDIA,Urban,Middle but below matric/secondary,43559468,23765201,19794267,25400654,13618706,11781948,13425539,7488372,5937167,4733275,2658123,2075152
0,INDIA,Urban,Matric/Secondary but below graduate,86954722,49421079,37533643,36050840,20196741,15854099,31553724,17998975,13554749,19350158,11225363,8124795
0,INDIA,Urban,Graduate and above,45949004,26461165,19487839,10753045,6238148,4514897,18139857,10376656,7763201,17056102,9846361,7209741
1,JAMMU & KASHMIR,Rural,Total,9108060,4774477,4333583,4940822,2304114,2636708,2908514,1691659,1216855,1258724,778704,480020
1,JAMMU & KASHMIR,Rural,Illiterate,4360110,1882728,2477382,3745937,1607368,2138569,503914,222808,281106,110259,52552,57707
1,JAMMU & KASHMIR,Rural,Literate,4747950,2891749,1856201,1194885,696746,498139,2404600,1468851,935749,1148465,726152,422313
1,JAMMU & KASHMIR,Rural,Literate but below primary,763590,419327,344263,337227,180966,156261,351644,196268,155376,74719,42093,32626
1,JAMMU & KASHMIR,Rural,Primary but below middle,999472,564510,434962,279127,151473,127654,571735,325809,245926,148610,87228,61382
1,JAMMU & KASHMIR,Rural,Middle but below matric/secondary,1243109,770561,472548,254333,150940,103393,731324,456914,274410,257452,162707,94745
1,JAMMU & KASHMIR,Rural,Matric/Secondary but below graduate,1350234,878414,471820,232252,157499,74753,634775,413099,221676,483207,307816,175391
1,JAMMU & KASHMIR,Rural,Graduate and above,254288,173914,80374,24558,16354,8204,66078,45052,21026,163652,112508,51144
1,JAMMU & KASHMIR,Total,Total,12541302,6640662,5900640,6358112,3005843,3352269,4086970,2376063,1710907,2096220,1258756,837464
1,JAMMU & KASHMIR,Total,Illiterate,5474069,2375991,3098078,4709394,2032772,2676622,631892,280421,351471,132783,62798,69985
1,JAMMU & KASHMIR,Total,Literate,7067233,4264671,2802562,1648718,973071,675647,3455078,2095642,1359436,1963437,1195958,767479
1,JAMMU & KASHMIR,Total,Literate but below primary,987774,541130,446644,418639,224847,193792,466321,258690,207631,102814,57593,45221
1,JAMMU & KASHMIR,Total,Primary but below middle,1285909,719512,566397,350088,190099,159989,739407,416281,323126,196414,113132,83282
1,JAMMU & KASHMIR,Total,Middle but below matric/secondary,1666381,1015129,651252,334574,197318,137256,982967,603140,379827,348840,214671,134169
1,JAMMU & KASHMIR,Total,Matric/Secondary but below graduate,2244013,1443868,800145,379706,260908,118798,1028287,666356,361931,836020,516604,319416
1,JAMMU & KASHMIR,Total,Graduate and above,653764,401279,252485,56046,34158,21888,157176,98348,58828,440542,268773,171769
1,JAMMU & KASHMIR,Urban,Total,3433242,1866185,1567057,1417290,701729,715561,1178456,684404,494052,837496,480052,357444
1,JAMMU & KASHMIR,Urban,Illiterate,1113959,493263,620696,963457,425404,538053,127978,57613,70365,22524,10246,12278
1,JAMMU & KASHMIR,Urban,Literate,2319283,1372922,946361,453833,276325,177508,1050478,626791,423687,814972,469806,345166
1,JAMMU & KASHMIR,Urban,Literate but below primary,224184,121803,102381,81412,43881,37531,114677,62422,52255,28095,15500,12595
1,JAMMU & KASHMIR,Urban,Primary but below middle,286437,155002,131435,70961,38626,32335,167672,90472,77200,47804,25904,21900
1,JAMMU & KASHMIR,Urban,Middle but below matric/secondary,423272,244568,178704,80241,46378,33863,251643,146226,105417,91388,51964,39424
1,JAMMU & KASHMIR,Urban,Matric/Secondary but below graduate,893779,565454,328325,147454,103409,44045,393512,253257,140255,352813,208788,144025
1,JAMMU & KASHMIR,Urban,Graduate and above,399476,227365,172111,31488,17804,13684,91098,53296,37802,276890,156265,120625
2,HIMACHAL PRADESH,Rural,Total,6176050,3110345,3065705,5194532,2571544,2622988,700701,375762,324939,280817,163039,117778
2,HIMACHAL PRADESH,Rural,Illiterate,1704314,672524,1031790,1625757,641813,983944,74781,28772,46009,3776,1939,1837
2,HIMACHAL PRADESH,Rural,Literate,4471736,2437821,2033915,3568775,1929731,1639044,625920,346990,278930,277041,161100,115941
2,HIMACHAL PRADESH,Rural,Literate but below primary,559188,297122,262066,469910,247940,221970,81268,44560,36708,8010,4622,3388
2,HIMACHAL PRADESH,Rural,Primary but below middle,1081117,532805,548312,901384,440818,460566,152300,77016,75284,27433,14971,12462
2,HIMACHAL PRADESH,Rural,Middle but below matric/secondary,755572,412688,342884,608451,331251,277200,105657,58257,47400,41464,23180,18284
2,HIMACHAL PRADESH,Rural,Matric/Secondary but below graduate,1632461,951146,681315,1263307,731896,531411,219095,129968,89127,150059,89282,60777
2,HIMACHAL PRADESH,Rural,Graduate and above,315940,181122,134818,219721,126872,92849,51559,28472,23087,44660,25778,18882
2,HIMACHAL PRADESH,Total,Total,6864602,3481873,3382729,5621897,2797907,2823990,895419,483488,411931,347286,200478,146808
2,HIMACHAL PRADESH,Total,Illiterate,1824866,729283,1095583,1734570,693002,1041568,85483,33735,51748,4813,2546,2267
2,HIMACHAL PRADESH,Total,Literate,5039736,2752590,2287146,3887327,2104905,1782422,809936,449753,360183,342473,197932,144541
2,HIMACHAL PRADESH,Total,Literate but below primary,611475,326058,285417,505997,267717,238280,95417,52503,42914,10061,5838,4223
2,HIMACHAL PRADESH,Total,Primary but below middle,1162995,576764,586231,956123,469781,486342,175150,89586,85564,31722,17397,14325
2,HIMACHAL PRADESH,Total,Middle but below matric/secondary,826611,452919,373692,651261,354927,296334,127495,70960,56535,47855,27032,20823
2,HIMACHAL PRADESH,Total,Matric/Secondary but below graduate,1852386,1076380,776006,1383932,799947,583985,290319,170982,119337,178135,105451,72684
2,HIMACHAL PRADESH,Total,Graduate and above,446609,251164,195445,276382,157694,118688,102118,55158,46960,68109,38312,29797
2,HIMACHAL PRADESH,Urban,Total,688552,371528,317024,427365,226363,201002,194718,107726,86992,66469,37439,29030
2,HIMACHAL PRADESH,Urban,Illiterate,120552,56759,63793,108813,51189,57624,10702,4963,5739,1037,607,430
2,HIMACHAL PRADESH,Urban,Literate,568000,314769,253231,318552,175174,143378,184016,102763,81253,65432,36832,28600
2,HIMACHAL PRADESH,Urban,Literate but below primary,52287,28936,23351,36087,19777,16310,14149,7943,6206,2051,1216,835
2,HIMACHAL PRADESH,Urban,Primary but below middle,81878,43959,37919,54739,28963,25776,22850,12570,10280,4289,2426,1863
2,HIMACHAL PRADESH,Urban,Middle but below matric/secondary,71039,40231,30808,42810,23676,19134,21838,12703,9135,6391,3852,2539
2,HIMACHAL PRADESH,Urban,Matric/Secondary but below graduate,219925,125234,94691,120625,68051,52574,71224,41014,30210,28076,16169,11907
2,HIMACHAL PRADESH,Urban,Graduate and above,130669,70042,60627,56661,30822,25839,50559,26686,23873,23449,12534,10915
3,PUNJAB,Rural,Total,17344192,9093476,8250716,10261012,5095216,5165796,2852310,1593793,1258517,4230870,2404467,1826403
3,PUNJAB,Rural,Illiterate,6346535,2934669,3411866,6082613,2806579,3276034,190620,89299,101321,73302,38791,34511
3,PUNJAB,Rural,Literate,10997657,6158807,4838850,4178399,2288637,1889762,2661690,1504494,1157196,4157568,2365676,1791892
3,PUNJAB,Rural,Literate but below primary,1454338,832909,621429,1069294,611314,457980,242689,139408,103281,142355,82187,60168
3,PUNJAB,Rural,Primary but below middle,2953365,1555595,1397770,1584688,807579,777109,877803,470074,407729,490874,277942,212932
3,PUNJAB,Rural,Middle but below matric/secondary,1965243,1117838,847405,599718,341198,258520,634547,360612,273935,730978,416028,314950
3,PUNJAB,Rural,Matric/Secondary but below graduate,3788069,2225263,1562806,641994,382784,259210,799212,477315,321897,2346863,1365164,981699
3,PUNJAB,Rural,Graduate and above,460985,227170,233815,42576,20891,21685,50762,26108,24654,367647,180171,187476
3,PUNJAB,Total,Total,27743338,14639465,13103873,14708114,7355282,7352832,5205311,2900342,2304969,7829913,4383841,3446072
3,PUNJAB,Total,Illiterate,9036201,4203409,4832792,8481731,3938824,4542907,415006,191475,223531,139464,73110,66354
3,PUNJAB,Total,Literate,18707137,10436056,8271081,6226383,3416458,2809925,4790305,2708867,2081438,7690449,4310731,3379718
3,PUNJAB,Total,Literate but below primary,2227684,1273936,953748,1487522,849207,638315,462584,264682,197902,277578,160047,117531
3,PUNJAB,Total,Primary but below middle,4288200,2273540,2014660,2155163,1108095,1047068,1367999,733458,634541,765038,431987,333051
3,PUNJAB,Total,Middle but below matric/secondary,3066305,1747063,1319242,918971,524731,394240,1035260,589551,445709,1112074,632781,479293
3,PUNJAB,Total,Matric/Secondary but below graduate,6755536,3945160,2810376,1148265,676519,471746,1567679,933897,633782,4039592,2334744,1704848
3,PUNJAB,Total,Graduate and above,1760846,873776,887070,163878,75564,88314,247245,127574,119671,1349723,670638,679085
3,PUNJAB,Urban,Total,10399146,5545989,4853157,4447102,2260066,2187036,2353001,1306549,1046452,3599043,1979374,1619669
3,PUNJAB,Urban,Illiterate,2689666,1268740,1420926,2399118,1132245,1266873,224386,102176,122210,66162,34319,31843
3,PUNJAB,Urban,Literate,7709480,4277249,3432231,2047984,1127821,920163,2128615,1204373,924242,3532881,1945055,1587826
3,PUNJAB,Urban,Literate but below primary,773346,441027,332319,418228,237893,180335,219895,125274,94621,135223,77860,57363
3,PUNJAB,Urban,Primary but below middle,1334835,717945,616890,570475,300516,269959,490196,263384,226812,274164,154045,120119
3,PUNJAB,Urban,Middle but below matric/secondary,1101062,629225,471837,319253,183533,135720,400713,228939,171774,381096,216753,164343
3,PUNJAB,Urban,Matric/Secondary but below graduate,2967467,1719897,1247570,506271,293735,212536,768467,456582,311885,1692729,969580,723149
3,PUNJAB,Urban,Graduate and above,1299861,646606,653255,121302,54673,66629,196483,101466,95017,982076,490467,491609
4,CHANDIGARH,Rural,Total,28991,17150,11841,17268,10081,7187,7370,4422,2948,4353,2647,1706
4,CHANDIGARH,Rural,Illiterate,9030,4398,4632,8177,4019,4158,806,356,450,47,23,24
4,CHANDIGARH,Rural,Literate,19961,12752,7209,9091,6062,3029,6564,4066,2498,4306,2624,1682
4,CHANDIGARH,Rural,Literate but below primary,2997,1738,1259,2035,1196,839,778,436,342,184,106,78
4,CHANDIGARH,Rural,Primary but below middle,4091,2484,1607,2172,1391,781,1489,840,649,430,253,177
4,CHANDIGARH,Rural,Middle but below matric/secondary,3461,2269,1192,1719,1203,516,1165,731,434,577,335,242
4,CHANDIGARH,Rural,Matric/Secondary but below graduate,7252,4886,2366,2600,1885,715,2408,1601,807,2244,1400,844
4,CHANDIGARH,Rural,Graduate and above,1872,1195,677,408,286,122,624,400,224,840,509,331
4,CHANDIGARH,Total,Total,1055450,580663,474787,475530,257765,217765,257941,144341,113600,321979,178557,143422
4,CHANDIGARH,Total,Illiterate,250012,115317,134695,226305,105598,120707,20540,8420,12120,3167,1299,1868
4,CHANDIGARH,Total,Literate,805438,465346,340092,249225,152167,97058,237401,135921,101480,318812,177258,141554
4,CHANDIGARH,Total,Literate but below primary,90869,51211,39658,55369,31249,24120,23262,13006,10256,12238,6956,5282
4,CHANDIGARH,Total,Primary but below middle,130243,73645,56598,68112,39776,28336,39057,20893,18164,23074,12976,10098
4,CHANDIGARH,Total,Middle but below matric/secondary,111879,67964,43915,47937,31246,16691,36999,21494,15505,26943,15224,11719
4,CHANDIGARH,Total,Matric/Secondary but below graduate,265112,161391,103721,58634,39335,19299,87594,53199,34395,118884,68857,50027
4,CHANDIGARH,Total,Graduate and above,194453,104748,89705,11799,6998,4801,47574,25931,21643,135080,71819,63261
4,CHANDIGARH,Urban,Total,1026459,563513,462946,458262,247684,210578,250571,139919,110652,317626,175910,141716
4,CHANDIGARH,Urban,Illiterate,240982,110919,130063,218128,101579,116549,19734,8064,11670,3120,1276,1844
4,CHANDIGARH,Urban,Literate,785477,452594,332883,240134,146105,94029,230837,131855,98982,314506,174634,139872
4,CHANDIGARH,Urban,Literate but below primary,87872,49473,38399,53334,30053,23281,22484,12570,9914,12054,6850,5204
4,CHANDIGARH,Urban,Primary but below middle,126152,71161,54991,65940,38385,27555,37568,20053,17515,22644,12723,9921
4,CHANDIGARH,Urban,Middle but below matric/secondary,108418,65695,42723,46218,30043,16175,35834,20763,15071,26366,14889,11477
4,CHANDIGARH,Urban,Matric/Secondary but below graduate,257860,156505,101355,56034,37450,18584,85186,51598,33588,116640,67457,49183
4,CHANDIGARH,Urban,Graduate and above,192581,103553,89028,11391,6712,4679,46950,25531,21419,134240,71310,62930
5,UTTARAKHAND,Rural,Total,7036954,3519042,3517912,6201723,3051074,3150649,764620,425075,339545,70611,42893,27718
5,UTTARAKHAND,Rural,Illiterate,2422904,922871,1500033,2259855,856310,1403545,160072,65258,94814,2977,1303,1674
5,UTTARAKHAND,Rural,Literate,4614050,2596171,2017879,3941868,2194764,1747104,604548,359817,244731,67634,41590,26044
5,UTTARAKHAND,Rural,Literate but below primary,763789,405044,358745,667071,351466,315605,93132,51615,41517,3586,1963,1623
5,UTTARAKHAND,Rural,Primary but below middle,1158397,595425,562972,1009365,511213,498152,141780,80062,61718,7252,4150,3102
5,UTTARAKHAND,Rural,Middle but below matric/secondary,1055738,607483,448255,930502,530354,400148,114103,70356,43747,11133,6773,4360
5,UTTARAKHAND,Rural,Matric/Secondary but below graduate,1139544,703380,436164,953772,585296,368476,158251,100441,57810,27521,17643,9878
5,UTTARAKHAND,Rural,Graduate and above,386054,231662,154392,287266,172658,114608,81991,48861,33130,16797,10143,6654
5,UTTARAKHAND,Total,Total,10086292,5137773,4948519,8328536,4155011,4173525,1569934,873233,696701,187822,109529,78293
5,UTTARAKHAND,Total,Illiterate,3205339,1274065,1931274,2956383,1170495,1785888,244184,101518,142666,4772,2052,2720
5,UTTARAKHAND,Total,Literate,6880953,3863708,3017245,5372153,2984516,2387637,1325750,771715,554035,183050,107477,75573
5,UTTARAKHAND,Total,Literate but below primary,1034583,554430,480153,872178,464414,407764,155269,86057,69212,7136,3959,3177
5,UTTARAKHAND,Total,Primary but below middle,1550574,803056,747518,1296227,659038,637189,239726,135795,103931,14621,8223,6398
5,UTTARAKHAND,Total,Middle but below matric/secondary,1406871,806770,600101,1181983,670915,511068,202634,122352,80282,22254,13503,8751
5,UTTARAKHAND,Total,Matric/Secondary but below graduate,1815486,1105814,709672,1365451,828531,536920,380659,234683,145976,69376,42600,26776
5,UTTARAKHAND,Total,Graduate and above,910288,512068,398220,526998,299193,227805,317358,176014,141344,65932,36861,29071
5,UTTARAKHAND,Urban,Total,3049338,1618731,1430607,2126813,1103937,1022876,805314,448158,357156,117211,66636,50575
5,UTTARAKHAND,Urban,Illiterate,782435,351194,431241,696528,314185,382343,84112,36260,47852,1795,749,1046
5,UTTARAKHAND,Urban,Literate,2266903,1267537,999366,1430285,789752,640533,721202,411898,309304,115416,65887,49529
5,UTTARAKHAND,Urban,Literate but below primary,270794,149386,121408,205107,112948,92159,62137,34442,27695,3550,1996,1554
5,UTTARAKHAND,Urban,Primary but below middle,392177,207631,184546,286862,147825,139037,97946,55733,42213,7369,4073,3296
5,UTTARAKHAND,Urban,Middle but below matric/secondary,351133,199287,151846,251481,140561,110920,88531,51996,36535,11121,6730,4391
5,UTTARAKHAND,Urban,Matric/Secondary but below graduate,675942,402434,273508,411679,243235,168444,222408,134242,88166,41855,24957,16898
5,UTTARAKHAND,Urban,Graduate and above,524234,280406,243828,239732,126535,113197,235367,127153,108214,49135,26718,22417
6,HARYANA,Rural,Total,16509359,8774006,7735353,13751817,7122253,6629564,2194575,1307460,887115,562967,344293,218674
6,HARYANA,Rural,Illiterate,6350917,2633907,3717010,6073767,2518585,3555182,266790,109793,156997,10360,5529,4831
6,HARYANA,Rural,Literate,10158442,6140099,4018343,7678050,4603668,3074382,1927785,1197667,730118,552607,338764,213843
6,HARYANA,Rural,Literate but below primary,1721502,979683,741819,1477288,836820,640468,229883,134257,95626,14331,8606,5725
6,HARYANA,Rural,Primary but below middle,2663725,1481060,1182665,2177430,1200046,977384,419220,241115,178105,67075,39899,27176
6,HARYANA,Rural,Middle but below matric/secondary,1790768,1044222,746546,1353110,787497,565613,332687,196140,136547,104971,60585,44386
6,HARYANA,Rural,Matric/Secondary but below graduate,3163290,2113805,1049485,2145482,1447959,697523,735706,488658,247048,282102,177188,104914
6,HARYANA,Rural,Graduate and above,565061,381815,183246,323022,223036,99986,168748,112581,56167,73291,46198,27093
6,HARYANA,Total,Total,25351462,13494734,11856728,19724101,10237089,9487012,4456790,2576417,1880373,1170571,681228,489343
6,HARYANA,Total,Illiterate,8752474,3700667,5051807,8350990,3529329,4821661,381376,160533,220843,20108,10805,9303
6,HARYANA,Total,Literate,16598988,9794067,6804921,11373111,6707760,4665351,4075414,2415884,1659530,1150463,670423,480040
6,HARYANA,Total,Literate but below primary,2473145,1403012,1070133,2094097,1183542,910555,350587,202714,147873,28461,16756,11705
6,HARYANA,Total,Primary but below middle,3772022,2075334,1696688,3039798,1660296,1379502,634551,357656,276895,97673,57382,40291
6,HARYANA,Total,Middle but below matric/secondary,2705282,1557670,1147612,1984537,1142857,841680,570313,328458,241855,150432,86355,64077
6,HARYANA,Total,Matric/Secondary but below graduate,5343778,3426435,1917343,3255053,2127024,1128029,1577027,988975,588052,511698,310436,201262
6,HARYANA,Total,Graduate and above,1877085,1102809,774276,684568,428393,256175,853897,487771,366126,338620,186645,151975
6,HARYANA,Urban,Total,8842103,4720728,4121375,5972284,3114836,2857448,2262215,1268957,993258,607604,336935,270669
6,HARYANA,Urban,Illiterate,2401557,1066760,1334797,2277223,1010744,1266479,114586,50740,63846,9748,5276,4472
6,HARYANA,Urban,Literate,6440546,3653968,2786578,3695061,2104092,1590969,2147629,1218217,929412,597856,331659,266197
6,HARYANA,Urban,Literate but below primary,751643,423329,328314,616809,346722,270087,120704,68457,52247,14130,8150,5980
6,HARYANA,Urban,Primary but below middle,1108297,594274,514023,862368,460250,402118,215331,116541,98790,30598,17483,13115
6,HARYANA,Urban,Middle but below matric/secondary,914514,513448,401066,631427,355360,276067,237626,132318,105308,45461,25770,19691
6,HARYANA,Urban,Matric/Secondary but below graduate,2180488,1312630,867858,1109571,679065,430506,841321,500317,341004,229596,133248,96348
6,HARYANA,Urban,Graduate and above,1312024,720994,591030,361546,205357,156189,685149,375190,309959,265329,140447,124882
